Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Namaki Araghi, Sina",Sina,female,0.9768158422424958,True
Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Macé-Ramète, Guillaume",Guillaume,male,0.9995033457648226,True
Integrating Social Media and Business Process Management: Exploring the Role of AI Agents and the Benefits for Agility,"Benaben, Frederick",Frederick,male,0.999942547328335,True
Declarative Process Mining for Software Processes: The RuM Toolkit and the Declare4Py Python Library,"Alman, Anti",Anti,female,0.98476769711088,True
Declarative Process Mining for Software Processes: The RuM Toolkit and the Declare4Py Python Library,"Donadello, Ivan",Ivan,male,0.9999776517681997,True
Declarative Process Mining for Software Processes: The RuM Toolkit and the Declare4Py Python Library,"Maggi, Fabrizio Maria",Fabrizio,male,0.9999395873949303,True
Declarative Process Mining for Software Processes: The RuM Toolkit and the Declare4Py Python Library,"Montali, Marco",Marco,male,0.9998964214527616,True
Investigating Cost and Business Process Management: A Systematic Literature Review (SLR),"Handriani, Inge",Inge,female,0.9998712359528834,True
Investigating Cost and Business Process Management: A Systematic Literature Review (SLR),"Mahendrawathi, E.R.",E.R.,male,0.8758226920856986,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Duan, Qinghong",Qinghong,female,0.5530854496338982,False
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Chai, Huan",Huan,male,0.9833980742948882,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Wu, Tao",Tao,male,0.9969686446299408,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Ouyang, Weiwei",Weiwei,female,0.9841585000191304,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Lei, Ying",Ying,female,0.9976878084537152,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Zhao, Xu",Xu,male,0.7337600554549282,False
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Zhao, Zexin",Zexin,male,0.9754808218571538,True
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Jin, Yan",Yan,unknown,0.5336648310743305,False
The Full Intelligent Stakeholder Value Network Model and Its Empirical Results Based on Value Stream in Hospital,"Zhou, Zhongfei",Zhongfei,male,0.9075277288321855,True
