Article Title,Author Name,First Name,Gender,Probability,Reliable
BPM Maturity Models: A Qualitative Study under the Perspective of Specialists,"da Nobrega, Simone Nunes",Simone,female,0.9988906158063363,True
BPM Maturity Models: A Qualitative Study under the Perspective of Specialists,"Oliveira, Joyce Aline",Joyce,female,0.9998932133443771,True
BPM Maturity Models: A Qualitative Study under the Perspective of Specialists,"Reboucas, Rodrigo",Rodrigo,male,0.9999878411566193,True
Subject-Orientation and Agility,"Buchwald, Hagen",Hagen,male,0.9993113223299143,True
Sisi in the ALPS: A Simple Simulation and Verification Approach for PASS,"Elstermann, Matthes",Matthes,unknown,0.6764015388629641,False
Sisi in the ALPS: A Simple Simulation and Verification Approach for PASS,"Ovtcharova, Jivka",Jivka,female,0.998286071792992,True
Designing the Learning Process: The IOLAOS Platform,"Vidakis, Nikolas",Nikolas,male,0.9999808354112506,True
Designing the Learning Process: The IOLAOS Platform,"Charitakis, Stavros",Stavros,male,0.9999810190066217,True
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,"Hoppenbrouwers, Stijn",Stijn,male,0.9934761545778056,True
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,"Wilmont, Ilona",Ilona,female,0.9999947940947314,True
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,"van Loon, Daniël",Daniël,male,0.9956806612093849,True
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,"van der Geest, Thea",Thea,female,0.9998014929775462,True
Measuring Process Experience: A Collaborative Modelling Instrument for Determining the Impact of a New Law on Public Service Experience,"Oppl, Stefan",Stefan,male,0.9999831604184807,True
"Supporting People-Driven, Dynamic and Geo-Located Work Processes","Antunes, Pedro",Pedro,male,0.9999821167297533,True
"Supporting People-Driven, Dynamic and Geo-Located Work Processes","Baloian, Nelson",Nelson,male,0.9999183097997376,True
"Supporting People-Driven, Dynamic and Geo-Located Work Processes","Zurita, Gustavo",Gustavo,male,0.9999547032163499,True
"Supporting People-Driven, Dynamic and Geo-Located Work Processes","Pino, José A.",José,male,0.9960913709996708,True
Validation of Business Process Models through Interactively Enacted Simulation,"Hochleitner, Felix",Felix,male,0.9998848338420872,True
Validation of Business Process Models through Interactively Enacted Simulation,"Oppl, Stefan",Stefan,male,0.9999831604184807,True
Using Machine Learning to Classify Process Model Elements for Process Infrastructure Analysis,"Avila, Diego Toralles",Diego,male,0.9999727834593694,True
Using Machine Learning to Classify Process Model Elements for Process Infrastructure Analysis,"de Moura, Vitor Camargo",Vitor,male,0.9999396805631499,True
Using Machine Learning to Classify Process Model Elements for Process Infrastructure Analysis,"Thom, Lucineia Heloisa",Lucineia,female,0.9997894881320168,True
How Organizational Culture influences BPM Evolution,"Jatoba, Iveruska",Iveruska,unknown,0.6986891678598954,False
