Splitting GSM schemas: A framework for outsourcing of declarative artifact systems,2014,3,0,1,False,False,4
Context-based variant generation of business process models,2014,3,0,0,False,False,3
Business rules management in healthcare: A lifecycle approach,2014,2,0,0,False,False,2
A graph distance based metric for data oriented workflow retrieval with variable time constraints,2014,2,1,0,False,False,3
Prioritizing business processes improvement initiatives: The Seco tools case,2014,4,1,0,False,False,5
Discrete element simulation of the effect of particle size on the size of fracture process zone in quasi-brittle materials,2014,2,0,0,False,False,2
Process discovery and conformance checking using passages,2014,0,0,2,False,False,2
"Current research in risk-aware business process management-overview, comparison, and gap analysis",2014,11,1,0,False,False,12
"A systematic review on security in Process-Aware Information Systems - Constitution, challenges, and future directions",2014,0,2,0,True,True,2
Dynamic adaptation of business process based on context changes: A rule-oriented approach,2014,3,0,0,False,False,3
RNM based decentralized architecture of cross-organizational workflow management system for e-government,2013,0,0,3,False,False,3
Process discovery: Automated approach for block discovery,2014,2,1,0,False,True,3
Supporting adaptive e-learning: An approach based on open-source learning management systems,2013,2,1,0,False,False,3
Design of a subject-oriented reference model for Change Management,2014,3,0,0,False,False,3
Mobile enablement of business process management suites,2014,3,0,0,False,False,3
An optimization model for valuating process flexibility,2013,4,0,0,False,False,4
Addressing the paradigmatic limitation of conventional business process management concepts by proposing new definitions,2014,2,0,1,False,False,3
BPM/BPM+: Software-based dynamic memory partitioning mechanisms for mitigating dram bank-/channel-level interferences in multicore systems,2014,4,1,1,True,False,6
DEWEY: The DICOM-enabled workflow engine system,2014,5,0,0,False,False,5
Reflexivity in business. review on the best practices of S-BPM approach application,2014,0,0,3,False,False,3
Proposals for future BPM research directions,2014,1,0,0,False,False,1
Mixed-level optical-system simulation incorporating component-level modeling of interface elements,2014,6,0,0,False,False,6
Petri net-based process monitoring: A workflow management system for process modelling and monitoring,2014,3,1,0,False,True,4
Partner network and its process management,2013,3,0,0,False,False,3
Efficient syntactic process difference detection using flexible feature matching,2014,4,1,0,False,False,5
Business process artefact adaptability approach based on artificial immune systems,2014,0,1,0,True,True,1
A participative end-user modeling approach for business process requirements,2014,1,2,0,True,False,3
RESTful business process management in the cloud,2013,2,0,0,False,False,2
Workflow models: Management and quality of process in the cloud,2014,5,2,0,False,True,7
Data state description for the migration to activity-centric business process model maintaining legacy databases,2014,1,2,0,True,False,3
A flexible and efficient system development approach for enterprise system and smartphone application,2014,1,1,0,True,False,2
From process models to business process architectures: Connecting the layers,2014,2,0,0,False,False,2
Some complexity results for the soundness problem of workflow nets,2014,1,0,0,False,False,1
Towards Semantic Support for Business Process Integration,2014,2,0,1,False,False,3
Understanding the factors that influence the adoption of BPM in two Brazilian public organizations,2014,2,1,0,True,False,3
Shake It Up: Exercise Intensity Recognizing System,2014,1,0,1,False,False,2
Towards an organizational strategic alignment driven by business level agreements,2014,2,2,0,True,False,4
Introducing a framework for scalable dynamic process discovery,2014,6,0,0,False,False,6
Towards the enhancement of business process monitoring for complex logistics chains,2014,1,3,1,True,False,5
Self-adaptive resource allocation for elastic process execution,2013,3,0,1,False,False,4
Direct-write diffracting tubular optical components using femtosecond lasers,2014,2,0,0,False,False,2
Customized infrastructures for monitoring business processes,2014,2,0,0,False,False,2
Workflow for a multi-agent system with voice user interfaces in a changing environment,2014,0,0,2,False,False,2
Process remaining time prediction using query catalogs,2014,2,0,0,False,False,2
Short paper: Towards enhancing business process monitoring with sonification,2014,1,0,0,False,False,1
Absorptive capacity as a precondition for business process improvement,2014,3,1,0,False,False,4
Towards a meta-model for goal-based social BPM,2014,2,0,0,False,False,2
Developing a governance model for successful business process standardization,2013,2,1,0,True,False,3
Integrate ERP system into business process management system,2013,4,0,2,False,False,6
Supporting collaborative work by learning process models and patterns from cases,2013,3,0,0,False,False,3
